text_ts	s_r	num_chars	num_words	min_since_prev
2013-02-12 10:31:00	SNT	119	24	4
2013-02-12 10:31:00	SNT	37	7	0
2013-02-12 10:32:00	RCV	44	9	1
2013-02-12 10:33:00	SNT	55	12	1
2013-02-12 10:55:00	RCV	129	24	22
2013-02-12 11:33:00	SNT	108	20	38
2013-02-12 11:34:00	RCV	9	2	1
2013-02-12 11:35:00	SNT	6	2	1
2013-02-12 11:36:00	RCV	14	2	1
2013-02-12 11:38:00	SNT	43	7	2
2013-02-12 11:38:00	RCV	60	10	0
2013-02-12 11:40:00	RCV	2	1	2
2013-02-12 11:40:00	RCV	31	6	0
2013-02-12 11:40:00	RCV	57	12	0
2013-02-12 11:40:00	SNT	60	11	0
2013-02-12 11:42:00	SNT	65	13	2
2013-02-12 11:42:00	RCV	27	4	0
2013-02-12 11:42:00	RCV	41	8	0
2013-02-12 11:43:00	SNT	26	5	1
2013-02-12 11:45:00	SNT	51	8	2
2013-02-12 11:47:00	RCV	21	4	2
2013-02-12 11:48:00	SNT	78	14	1
2013-02-12 11:49:00	RCV	7	1	1
2013-02-12 11:49:00	SNT	79	18	0
2013-02-12 11:50:00	RCV	52	11	1
2013-02-12 12:13:00	SNT	141	25	23
2013-02-12 12:15:00	RCV	89	16	2
2013-02-12 12:21:00	SNT	110	20	6
2013-02-12 12:21:00	SNT	80	18	0
2013-02-12 12:23:00	RCV	97	17	2
2013-02-12 12:24:00	SNT	119	25	1
2013-02-12 12:24:00	SNT	47	8	0
2013-02-12 12:25:00	RCV	118	20	1
2013-02-12 12:25:00	SNT	102	20	0
2013-02-12 12:27:00	RCV	125	20	2
2013-02-12 12:27:00	RCV	47	8	0
2013-02-12 12:31:00	SNT	164	38	4
2013-02-12 12:33:00	SNT	98	16	2
2013-02-12 12:36:00	RCV	97	17	3
2013-02-12 13:03:00	SNT	102	19	27
2013-02-12 14:14:00	RCV	53	11	71
2013-02-12 14:15:00	SNT	99	20	1
2013-02-12 14:16:00	RCV	49	10	1
2013-02-12 14:16:00	RCV	85	16	0
2013-02-12 14:16:00	SNT	18	3	0
2013-02-12 14:17:00	SNT	6	1	1
